Data,latitude,longitude,confidence
2022-04-24,-16.6428,-49.2202,78.0
2023-10-15,-3.8158,-38.5378,80.0
2023-04-07,-2.5267,-44.2136,68.0
2020-05-02,-1.4112,-48.4395,27.0
2022-10-09,-30.0536,-51.1747,82.0
2020-02-20,-20.2708,-40.3058,0.0
2024-07-28,-15.7894,-47.9258,84.0
2021-12-01,-3.8158,-38.5378,80.0
2020-06-22,-5.0347,-42.8014,62.0
2024-06-30,-3.1033,-60.0164,37.0
2019-09-14,-22.3581,-49.0289,32.0
2019-03-31,-10.1907,-48.3018,69.0
2020-10-04,-19.98,-43.9586,44.0
2020-08-08,-25.4487,-49.2306,79.0
2020-09-11,2.8169,-60.6908,0.0
2019-12-15,-9.9578,-68.1652,71.0
2024-02-10,-2.5267,-44.2136,68.0
2024-03-11,-15.6069,-56.0608,65.0
2023-06-07,2.8169,-60.6908,0.0
2020-05-09,-1.4112,-48.4395,27.0
2020-11-15,-25.4487,-49.2306,79.0
2019-03-11,-10.1907,-48.3018,69.0
2019-07-18,-7.1654,-34.8156,49.0
2024-01-30,-10.9525,-37.0544,0.0
2021-08-11,-25.4486,-49.2306,79.0
2019-01-01,-25.4487,-49.2306,79.0
2020-03-10,-15.7893,-47.9258,84.0
2024-04-02,-15.6069,-56.0608,65.0
2020-06-27,-19.98,-43.9586,44.0
2019-02-07,-22.3581,-49.0289,32.0
2019-06-20,-22.3581,-49.0289,32.0
2019-10-09,-22.3581,-49.0289,32.0
2020-01-05,2.8169,-60.6908,0.0
2019-10-14,0.035,-51.0888,86.0
2024-08-01,-7.1653,-34.8156,49.0
2020-05-29,-10.1907,-48.3018,69.0
2020-10-08,-20.2708,-40.3058,0.0
2019-01-19,-1.4112,-48.4395,27.0
2024-08-11,-27.6025,-48.62,63.0
2020-09-09,-15.7893,-47.9258,84.0
2021-10-22,-10.9525,-37.0544,0.0
2019-07-30,-5.8372,-35.2081,26.0
2024-05-25,-22.9883,-43.1906,0.0
2024-01-03,-16.6428,-49.2203,78.0
2023-07-18,-7.1653,-34.8156,49.0
2020-07-11,-15.7893,-47.9258,84.0
2023-01-20,2.8169,-60.6908,0.0
2020-10-27,-3.8157,-38.5378,80.0
2022-07-02,-1.4112,-48.4395,27.0
2020-02-05,-10.9524,-37.0543,0.0
2021-03-13,-1.4112,-48.4395,27.0
2022-04-06,-9.5511,-35.7703,64.0
2020-01-13,-9.5511,-35.7703,64.0
2020-07-01,-3.1036,-60.0156,37.0
2023-06-19,-5.8372,-35.2081,26.0
2019-07-28,-19.98,-43.9587,44.0
2021-01-04,-15.5593,-56.063,77.0
2022-02-05,-5.0347,-42.8014,62.0
2019-01-13,2.8169,-60.6908,0.0
2022-10-15,-1.4112,-48.4395,27.0
2021-10-15,-20.4472,-54.7226,50.0
2023-03-10,-22.3581,-49.0289,32.0
2021-03-21,-3.8158,-38.5378,80.0
2019-11-03,2.8169,-60.6908,0.0
2020-04-10,-19.98,-43.9586,44.0
2019-05-10,-2.5268,-44.2136,68.0
2023-06-27,-3.1033,-60.0164,37.0
2020-06-06,-27.6025,-48.6201,63.0
2020-03-30,-9.5511,-35.7703,64.0
2019-11-21,0.035,-51.0888,86.0
2021-08-14,-10.1908,-48.3019,69.0
2024-01-05,-5.0347,-42.8014,62.0
2022-01-28,-15.7894,-47.9258,84.0
